Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,NumberofSeats,PriceinGermany,PriceinUK,AveragePrice,RangePerPrice,EnergyEfficiency,Drive_encoded,SpeedCategory_encoded,RangeCategory_encoded,PriceCategory_encoded
371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0
7.625067385444743,179.52830188679246,355.6873315363881,198.63881401617252,518.1132075471698,5.264150943396227,61964.74123989218,40346.88409703504,51155.812668463615,16.139946823924983,1.842275440196166,0.8247978436657682,1.150943396226415,1.2183288409703503,1.0619946091644206
3.166777231822199,39.52469131903973,116.68969859415694,33.73664304573065,247.7546696605389,0.9643835834736258,43465.14250483132,41483.98876180101,38371.93958696234,76.13963549264848,0.7012018705494764,0.7739192286898409,0.7632561289691522,0.934786236413209,1.2623167504034947
2.1000000000000005,123.0,95.0,104.0,0.0,2.0,0.0,0.0,0.0,0.0012133300977864058,0.536723163841808,0.0,0.0,0.0,0.0
5.1,150.0,265.0,173.0,310.0,5.0,39947.5,0.0,29452.5,0.005947614951247409,1.4087210194994628,0.0,1.0,0.0,0.0
7.3,180.0,355.0,191.0,480.0,5.0,54450.0,36795.0,42275.0,0.007796257796257797,1.8814432989690721,1.0,1.0,1.0,0.0
9.0,200.0,430.0,217.5,650.0,5.0,70505.0,57500.0,61431.25,0.010277747403151918,2.18937575030012,1.0,2.0,2.0,2.0
22.4,410.0,970.0,295.0,1240.0,7.0,400000.0,350000.0,375000.0,525.0,5.476190476190476,2.0,3.0,3.0,4.0
